,be,eo_model_name,eo_code,model_hour,year,month,month_year,calendar_fond_status,downtime_status,maintanance_jobs_id,maintanance_name
187,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 19:00:00,2023,1,1_2023,1,0.0,,
188,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 20:00:00,2023,1,1_2023,1,0.0,,
189,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 21:00:00,2023,1,1_2023,1,0.0,,
190,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 22:00:00,2023,1,1_2023,1,0.0,,
191,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-08 23:00:00,2023,1,1_2023,1,0.0,,
192,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 00:00:00,2023,1,1_2023,1,0.0,,
193,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 01:00:00,2023,1,1_2023,1,0.0,,
194,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 02:00:00,2023,1,1_2023,1,0.0,,
195,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 03:00:00,2023,1,1_2023,1,0.0,,
196,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 04:00:00,2023,1,1_2023,1,0.0,,
197,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 05:00:00,2023,1,1_2023,1,0.0,,
198,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 06:00:00,2023,1,1_2023,1,0.0,,
199,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 07:00:00,2023,1,1_2023,1,0.0,,
200,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 08:00:00,2023,1,1_2023,1,0.3,100000084492_eto_2023-01-09 08:00:00,ЕТО
201,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 09:00:00,2023,1,1_2023,1,0.0,,
202,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 10:00:00,2023,1,1_2023,1,0.0,,
203,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 11:00:00,2023,1,1_2023,1,0.0,,
204,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 12:00:00,2023,1,1_2023,1,0.0,,
205,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 13:00:00,2023,1,1_2023,1,0.0,,
206,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 14:00:00,2023,1,1_2023,1,0.0,,
207,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 15:00:00,2023,1,1_2023,1,0.0,,
208,Полюс Магадан,Самосвалы Komatsu 730E-10,100000084492,2023-01-09 16:00:00,2023,1,1_2023,1,0.0,,
