,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
2515,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Техническое обслуживание 4,О4,2000,2-0731О4,2-0731_strО4
2516,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Техническое обслуживание 5,О5,2000,2-0731О5,2-0731_strО5
2517,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Техническое обслуживание 3,О3,3000,2-0731О3,2-0731_strО3
2518,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 1,Т1,8000,2-0731Т1,2-0731_strТ1
2519,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 2,Т2,8000,2-0731Т2,2-0731_strТ2
2520,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 3,Т3,8000,2-0731Т3,2-0731_strТ3
2521,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 6,Т6,8000,2-0731Т6,2-0731_strТ6
2522,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт,ТР,8000,2-0731ТР,2-0731_strТР
2523,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 4,Т4,13000,2-0731Т4,2-0731_strТ4
2524,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Капитальный ремонт,КР,16000,2-0731КР,2-0731_strКР
2525,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 5,Т5,16000,2-0731Т5,2-0731_strТ5
2526,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 7,Т7,16000,2-0731Т7,2-0731_strТ7
2527,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Капитальный ремонт 1,К1,26000,2-0731К1,2-0731_strК1
2528,МТЧ ТО-ТР-КР-К1-О0-О5-Т1-Т8,МТЧ,Текущий ремонт 8,Т8,34000,2-0731Т8,2-0731_strТ8
2529,МТЧ СМ40,МТЧ,Смазка,СМ,40,2-0732СМ,2-0732_strСМ
