Ед. оборудов.,Техместо,Тип техкарты,Группа,СчтГрупТехкарт,Группа_СчетГруппТехкарт,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч",Описание,Завод,Гр. плановиков,Стратегия,Внешний ид.,Метка удаления,Монтажный узел,Статус,Дата изменения,Дата создания,Рабочее место,Завод РабМесто,Действит. с,ИндУдаления
,,A,A0005352,Т2,A0005352_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,2-0402,49720_30392,,960005352,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005352,ТО,A0005352_ТО,"2,000","2,000",Техническое обслуживание,1100,100,2-0402,49718_30392,,960005352,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005353,Т1,A0005353_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0137,45495_30393,,960005353,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005353,Т2,A0005353_Т2,"20,000","10,000",Текущий ремонт 2,1100,100,1-0137,45496_30393,,960005353,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005353,ТО,A0005353_ТО,"2,000","2,000",Техническое обслуживание,1100,100,1-0137,45494_30393,,960005353,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005354,Т1,A0005354_Т1,"16,000","8,000",Текущий ремонт 1,1100,100,1-0137,4185_30394,,960005354,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005354,Т2,A0005354_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0137,4186_30394,,960005354,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005354,ТО,A0005354_ТО,"3,000","3,000",Техническое обслуживание,1100,100,1-0137,4184_30394,,960005354,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005355,Т1,A0005355_Т1,"12,000","6,000",Текущий ремонт 1,1100,100,1-0189,45715_30395,,960005355,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005355,Т2,A0005355_Т2,"24,000","12,000",Текущий ремонт 2,1100,100,1-0189,45716_30395,,960005355,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
,,A,A0005355,ТО,A0005355_ТО,"1,000","1,000",Техническое обслуживание,1100,100,1-0189,45714_30395,,960005355,4,12/8/2020,12/7/2020,KBE-TIP,1100,6/1/2019,
